file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)
sample01_trimmed_1.fastq.gz	FASTQ	DNA	697740	52615123	36	75.4	76	75.0	76.0	76.0	0	76	1	99.63	98.35	32.70	50.28
sample01_trimmed_2.fastq.gz	FASTQ	DNA	697740	52612709	36	75.4	76	75.0	76.0	76.0	0	76	1	98.94	96.54	29.40	50.29
