file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)
sample01_trimmed_1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00
sample01_trimmed_2.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00
